,Company,TypeName,Inches,Cpu,Ram,Gpu,OpSys,Weight,Price,Size_Flash Storage,Size_HDD,Size_Hybrid,Size_SSD,ppi
0,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,1.37,71378.6832,0,0,0,128,226.98300468106115
1,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,1.34,47895.5232,128,0,0,0,127.67794013309688
2,HP,Notebook,15.6,Intel Core i5,8,Intel,No OS,1.86,30636.0,0,0,0,256,141.21199808219862
3,Apple,Ultrabook,15.4,Intel Core i7,16,AMD,macOS,1.83,135195.33599999998,0,0,0,512,220.53462386625827
4,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,1.37,96095.808,0,0,0,256,226.98300468106115
5,Acer,Notebook,15.6,AMD,4,AMD,Windows 10,2.1,21312.0,0,500,0,0,100.45466986113651
6,Apple,Ultrabook,15.4,Intel Core i7,16,Intel,Mac OS X,2.04,114017.6016,256,0,0,0,220.53462386625827
7,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,1.34,61735.536,256,0,0,0,127.67794013309688
8,Asus,Ultrabook,14.0,Intel Core i7,16,Nvidia,Windows 10,1.3,79653.59999999999,0,0,0,512,157.3505121487356
9,Acer,Ultrabook,14.0,Intel Core i5,8,Intel,Windows 10,1.6,41025.6,0,0,0,256,157.3505121487356
10,HP,Notebook,15.6,Intel Core i5,4,Intel,No OS,1.86,20986.992,0,500,0,0,100.45466986113651
11,HP,Notebook,15.6,Intel Core i3,4,Intel,No OS,1.86,18381.0672,0,500,0,0,141.21199808219862
12,Apple,Ultrabook,15.4,Intel Core i7,16,AMD,macOS,1.83,130001.6016,0,0,0,256,220.53462386625827
13,Dell,Notebook,15.6,Intel Core i3,4,AMD,Windows 10,2.2,26581.392,0,0,0,256,141.21199808219862
14,Apple,Ultrabook,12.0,Others,8,Intel,macOS,0.92,67260.672,0,0,0,256,226.41554716935852
15,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,1.37,80908.344,0,0,0,256,226.98300468106115
16,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,2.2,39693.6,0,0,0,256,141.21199808219862
17,Apple,Ultrabook,15.4,Intel Core i7,16,AMD,macOS,1.83,152274.24,0,0,0,512,220.53462386625827
18,Lenovo,Notebook,15.6,Intel Core i3,8,Nvidia,No OS,2.2,26586.72,0,1,0,0,141.21199808219862
19,Dell,Ultrabook,13.3,Intel Core i5,8,Intel,Windows 10,1.22,52161.12,0,0,0,128,165.6321180513006
20,Asus,Netbook,11.6,Others,2,Intel,Windows 10,0.98,10224.432,32,0,0,0,135.0942111925629
21,Lenovo,Gaming,15.6,Intel Core i5,8,Nvidia,Windows 10,2.5,53226.72,0,0,0,128,141.21199808219862
22,HP,Notebook,15.6,AMD,4,AMD,No OS,1.86,13746.24,0,500,0,0,100.45466986113651
23,Dell,2 in 1 Convertible,13.3,Intel Core i5,8,Intel,Windows 10,1.62,43636.32,0,0,0,256,165.6321180513006
24,HP,Ultrabook,15.6,Intel Core i7,8,Intel,Windows 10,1.91,35111.52,0,0,0,256,141.21199808219862
25,Dell,Notebook,15.6,Intel Core i3,4,Intel,Windows 10,2.3,22305.1392,0,1,0,0,100.45466986113651
26,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,Mac OS X,1.35,58554.72,128,0,0,0,127.67794013309688
27,Dell,Notebook,15.6,Intel Core i5,8,AMD,Windows 10,2.2,42624.0,0,0,0,256,141.21199808219862
28,Dell,Ultrabook,15.6,Intel Core i7,8,Intel,Windows 10,1.88,69157.44,0,0,0,256,141.21199808219862
29,HP,Notebook,17.3,Intel Core i5,8,Nvidia,Windows 10,2.5,47738.88,0,1,0,0,127.33567457123111
30,Chuwi,Notebook,15.6,Others,4,Intel,Windows 10,1.89,13053.0672,64,0,0,0,141.21199808219862
31,Asus,Notebook,14.0,AMD,2,AMD,Windows 10,1.65,10602.72,32,0,0,0,111.93520355955211
32,HP,Notebook,17.3,AMD,4,AMD,Windows 10,2.71,23389.92,0,500,0,0,127.33567457123111
33,Dell,Ultrabook,13.3,Intel Core i7,16,Intel,Windows 10,1.2,99580.32,0,0,0,512,276.053530085501
34,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,Mac OS X,1.35,53173.44,256,0,0,0,127.67794013309688
35,Lenovo,Notebook,14.0,Others,4,Intel,Windows 10,1.44,13266.72,64,0,0,0,111.93520355955211
36,Acer,Notebook,15.6,Intel Core i3,4,Intel,Linux,2.1,19553.76,0,1,0,0,100.45466986113651
37,Dell,Notebook,17.3,Intel Core i5,8,AMD,Windows 10,2.8,52161.12,0,0,0,128,127.33567457123111
38,HP,Notebook,15.6,Intel Core i5,4,Intel,Windows 10,1.86,26037.4032,0,1,0,0,100.45466986113651
