,Company,TypeName,Inches,Cpu,Ram,Gpu,OpSys,Weight,Size_Flash Storage,Size_HDD,Size_Hybrid,Size_SSD,ppi
0,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,1.37,0,0,0,128,226.98300468106115
1,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,1.34,128,0,0,0,127.67794013309688
2,HP,Notebook,15.6,Intel Core i5,8,Intel,No OS,1.86,0,0,0,256,141.21199808219862
3,Apple,Ultrabook,15.4,Intel Core i7,16,AMD,macOS,1.83,0,0,0,512,220.53462386625827
4,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,1.37,0,0,0,256,226.98300468106115
5,Acer,Notebook,15.6,AMD,4,AMD,Windows 10,2.1,0,500,0,0,100.45466986113651
6,Apple,Ultrabook,15.4,Intel Core i7,16,Intel,Mac OS X,2.04,256,0,0,0,220.53462386625827
7,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,1.34,256,0,0,0,127.67794013309688
8,Asus,Ultrabook,14.0,Intel Core i7,16,Nvidia,Windows 10,1.3,0,0,0,512,157.3505121487356
9,Acer,Ultrabook,14.0,Intel Core i5,8,Intel,Windows 10,1.6,0,0,0,256,157.3505121487356
10,HP,Notebook,15.6,Intel Core i5,4,Intel,No OS,1.86,0,500,0,0,100.45466986113651
11,HP,Notebook,15.6,Intel Core i3,4,Intel,No OS,1.86,0,500,0,0,141.21199808219862
12,Apple,Ultrabook,15.4,Intel Core i7,16,AMD,macOS,1.83,0,0,0,256,220.53462386625827
13,Dell,Notebook,15.6,Intel Core i3,4,AMD,Windows 10,2.2,0,0,0,256,141.21199808219862
14,Apple,Ultrabook,12.0,Others,8,Intel,macOS,0.92,0,0,0,256,226.41554716935852
15,Apple,Ultrabook,13.3,Intel Core i5,8,Intel,macOS,1.37,0,0,0,256,226.98300468106115
16,Dell,Notebook,15.6,Intel Core i7,8,AMD,Windows 10,2.2,0,0,0,256,141.21199808219862
